#	O3	NO2	NO
2014-03-15_01	22	49	2.93
2014-03-15_02	31.5	39	1.63
2014-03-15_03	43.5	28	0.98
2014-03-15_04	66.5	21.5	0.00
2014-03-15_05	68.5	24.5	0.33
2014-03-15_06	74	22.5	0.33
2014-03-15_07	59.5	27.5	0.33
2014-03-15_08	45.5	28	2.61
2014-03-15_09	39	26	3.91
2014-03-15_10	39	24.5	5.54
2014-03-15_11	47.5	19	4.89
2014-03-15_12	54	15.5	4.57
2014-03-15_13	60	13.5	3.59
2014-03-15_14	66	14	2.93
2014-03-15_15	74.5	13	1.30
2014-03-15_16	77.5	13.5	0.98
2014-03-15_17	78	16	0.98
2014-03-15_18	64.5	28.5	0.98
2014-03-15_19	54	40	0.65
2014-03-15_20	51.5	44	0.98
2014-03-15_21	58	37	0.65
2014-03-15_22	64	29.5	0.65
2014-03-15_23	63	28	0.33
2014-03-16_00	55	29.5	0.33
2014-03-16_01	45	34	0.33
2014-03-16_02	45.5	27.5	0.33
2014-03-16_03	46	21.5	0.33
2014-03-16_04	34	29.5	0.65
2014-03-16_05	31.5	30	0.65
2014-03-16_06	30	31.5	1.30
2014-03-16_07	19	42	8.15
2014-03-16_08	32	29	7.50
2014-03-16_09	44.5	21.5	6.52
2014-03-16_10	51	19	6.20
2014-03-16_11	53	20.5	7.50
2014-03-16_12	63.5	19	5.87
2014-03-16_13	72.5	16.5	3.91
2014-03-16_14	77	12.5	2.93
2014-03-16_15	80	12	1.96
2014-03-16_16	81	13	1.63
2014-03-16_17	74.5	18.5	1.63
2014-03-16_18	64	28	0.65
2014-03-16_19	57.5	35	0.33
2014-03-16_20	56.5	37	0.98
2014-03-16_21	57.5	34	1.30
2014-03-16_22	57.5	29.5	0.33
2014-03-16_23	49.5	34.5	0.98
2014-03-17_00	43	37	0.65
2014-03-17_01	35.5	40.5	1.30
2014-03-17_02	24	47	1.96
2014-03-17_03	29	36.5	1.63
2014-03-17_04	37	22.5	0.98
2014-03-17_05	33.5	25.5	0.98
2014-03-17_06	30.5	32.5	1.96
2014-03-17_07	28.5	38.5	2.93
2014-03-17_08	34	34.5	3.59
2014-03-17_09	32.5	35.5	4.24
2014-03-17_10	29	39.5	11.41
2014-03-17_11	32.5	38.5	14.67
2014-03-17_12	35	36	14.02
2014-03-17_13	39.5	31.5	15.33
2014-03-17_14	38	33.5	16.63
2014-03-17_15	34	36.5	16.63
2014-03-17_16	30	37	11.74
2014-03-17_17	24.5	40	6.52
2014-03-17_18	19.5	45	4.24
2014-03-17_19	15.5	48	4.24
2014-03-17_20	7.5	55.5	10.43
2014-03-17_21	3	60.5	23.48
2014-03-17_22	2	60.5	47.93
2014-03-17_23	2	57	29.35
2014-03-18_00	1	55.5	27.72
2014-03-18_01	1	54.5	19.24
2014-03-18_02	1	55	17.61
2014-03-18_03	0.5	53.5	22.50
2014-03-18_04	0.5	56.5	29.02
2014-03-18_05	0.5	56	31.63
2014-03-18_06	0.5	55	44.67
2014-03-18_07	1.5	57	78.91
2014-03-18_08	2.5	55	58.70
2014-03-18_09	10.5	44.5	19.24
2014-03-18_10	20.5	32.5	10.11
2014-03-18_11	27	28	11.09
2014-03-18_12	35	26	13.04
2014-03-18_13	50	22	7.50
2014-03-18_14	54	19	5.54
2014-03-18_15	56.5	18.5	2.93
2014-03-18_16	52.5	22	3.26
2014-03-18_17	50	27.5	2.28
2014-03-18_18	48	31.5	1.96
2014-03-18_19	53	29	1.30
2014-03-18_20	60	26	0.65
2014-03-18_21	64	20.5	0.00
2014-03-18_22	63.5	19	0.00
2014-03-18_23	64.5	16.5	0.00
2014-03-19_00	66.5	14.5	0.00
2014-03-19_01	68.5	12.5	0.00
2014-03-19_02	67	11.5	0.00
2014-03-19_03	66	12.5	0.00
2014-03-19_04	58.5	17.5	0.00
2014-03-19_05	56	20	0.00
2014-03-19_06	42.5	33.5	1.63
