SPECIES MASS    REACT  C2H6   NC4H10   C2H4   C3H6   APINEN   C5H8   OXYL   HCHO   CH3CHO   CH3COE   NO   NO2   HONO   CO   SO2   NH3
MASS    xxx     xxxxx  30   58   28   42   136   68   106   30   44   72   30   30   30   28.   64.   17.
REAC    xxx     xxxxx  0.038   0.366   1.264   3.976   7.986   15.14   2.055   1.405   2.364   0.173   1.   1.   1.   1.   1.   1.
1MECHX   126   2.009   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1MPCHX   140   2.264   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2M1PAC   116   0.699   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
2MPCHX   140   2.221   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
111TCE   132   0.001   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
11DCEA   98   0.044   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
11DCEE   96   1.635   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
11DMCP   98   0.379   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1234TB   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
1235TB   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
123TMB   120   4.905   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
123TCH   126   2.032   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1245TB   134   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
124TMB   120   4.875   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
12DCEA   98   0.036   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
12DCEE   96   0.373   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
12DMCP   98   0.653   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
12PDIO   76   1.8   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
135TMB   120   8.625   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
13BDIE   54   9.983   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
13DMCP   98   0.653   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0
13HDIE   82   15.92   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
14DCBZ   146   0.049   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
1BME2P   176   8.871   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1EME2P   162   8.428   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1MME2P   148   7.397   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
1BUTAL   72   3.524   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0
1BUTOL   74   1.286   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1BUTEN   56   4.709   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
