id,xa,ya,xb,yb,w,h
1,663290.5,6862779.0,663303.3,6862901.0,7.5,6.9
2,663300.5,6862901.0,663283.7,6862780.0,7.5,6.9
3,663283.7,6862780.0,663180.3,6862810.0,7.5,6.9
4,663560.2,6862817.0,663511.2,6862669.0,7.5,6.9
5,663511.2,6862669.0,663399.8,6862726.0,7.5,6.9
6,661969.0,6862970.0,662025.2,6862782.0,41.0,10.2
7,663367.2,6862632.0,663399.8,6862726.0,7.5,6.9
8,663283.7,6862780.0,663367.2,6862632.0,7.5,6.9
9,663642.5,6862605.0,663686.7,6862755.0,7.5,6.9
10,663642.5,6862605.0,663511.2,6862669.0,7.5,6.9
11,663283.7,6862780.0,663212.3,6862595.0,7.5,6.9
12,663212.3,6862595.0,663028.5,6862642.0,7.5,6.9
13,663028.4,6862640.0,663210.2,6862591.0,7.5,6.9
14,662796.4,6862600.0,662733.1,6862713.0,7.5,6.9
15,662776.2,6862580.0,662796.4,6862600.0,7.5,6.9
16,662795.3,6862601.0,662774.4,6862581.0,7.5,6.9
17,664117.2,6862576.0,664192.5,6862623.0,7.5,6.9
18,664191.4,6862626.0,664115.9,6862579.0,7.5,6.9
19,663511.2,6862669.0,663477.2,6862564.0,7.5,6.9
20,663273.0,6862570.0,663210.9,6862592.0,7.5,6.9
21,663212.3,6862595.0,663272.4,6862568.0,7.5,6.9
22,663611.2,6862498.0,663642.5,6862605.0,7.5,6.9
23,663337.6,6862545.0,663367.2,6862632.0,7.5,6.9
24,663339.1,6862545.0,663273.0,6862570.0,7.5,6.9
25,663272.4,6862568.0,663337.6,6862545.0,7.5,6.9
26,663828.0,6862676.0,663780.3,6862536.0,7.5,6.9
27,662803.3,6862536.0,662776.2,6862580.0,7.5,6.9
28,662774.4,6862581.0,662799.1,6862534.0,7.5,6.9
29,663611.2,6862498.0,663477.2,6862564.0,7.5,6.9
30,663477.2,6862564.0,663444.6,6862479.0,7.5,6.9
31,663989.3,6862475.0,664117.2,6862576.0,7.5,6.9
32,664115.9,6862579.0,663986.2,6862482.0,7.5,6.9
33,663986.8,6862595.0,663986.2,6862482.0,7.5,6.9
34,663212.3,6862595.0,663155.6,6862463.0,7.5,6.9
35,663986.2,6862482.0,663944.7,6862450.0,7.5,6.9
36,663944.7,6862450.0,663839.5,6862677.0,7.5,6.9
37,663944.7,6862450.0,663780.3,6862536.0,7.5,6.9
38,662568.6,6862458.0,662640.0,6862484.0,7.5,6.9
39,662639.3,6862486.0,662571.1,6862458.0,7.5,6.9
40,662571.1,6862458.0,662511.7,6862635.0,7.5,6.9
41,662554.4,6862495.0,662568.6,6862458.0,7.5,6.9
42,662508.8,6862634.0,662554.4,6862495.0,7.5,6.9
43,663111.0,6862364.0,663155.9,6862459.0,7.5,6.9
44,663155.6,6862463.0,663108.5,6862367.0,7.5,6.9
45,662248.4,6862450.0,662229.4,6862466.0,7.5,6.9
46,662228.3,6862461.0,662244.2,6862444.0,7.5,6.9
47,662656.7,6862434.0,662639.3,6862486.0,7.5,6.9
48,662640.0,6862484.0,662654.3,6862434.0,7.5,6.9
49,663780.3,6862536.0,663742.0,6862434.0,7.5,6.9
50,663742.0,6862434.0,663697.7,6862457.0,7.5,6.9
51,663696.6,6862454.0,663739.1,6862430.0,7.5,6.9
52,663990.7,6862433.0,663989.3,6862475.0,7.5,6.9
53,663944.7,6862450.0,663990.7,6862433.0,7.5,6.9
54,662448.2,6862607.0,662494.0,6862436.0,7.5,6.9
55,662469.1,6862425.0,662495.7,6862432.0,7.5,6.9
56,662494.0,6862436.0,662468.2,6862428.0,7.5,6.9
57,663226.6,6862422.0,663272.5,6862567.0,7.5,6.9
58,663155.6,6862463.0,663226.6,6862422.0,7.5,6.9
59,664036.3,6862415.0,664116.7,6862575.0,7.5,6.9
60,664010.0,6862429.0,664003.5,6862443.0,7.5,6.9
61,664037.0,6862417.0,664010.0,6862429.0,7.5,6.9
62,663990.7,6862433.0,664036.3,6862415.0,7.5,6.9
63,662663.6,6862409.0,662741.5,6862429.0,7.5,6.9
64,662740.7,6862431.0,662664.3,6862410.0,7.5,6.9
65,664138.9,6862385.0,664037.0,6862417.0,7.5,6.9
66,664036.3,6862415.0,664138.1,6862383.0,7.5,6.9
67,664156.3,6862384.0,664138.9,6862385.0,7.5,6.9
68,664138.1,6862383.0,664156.0,6862381.0,7.5,6.9
69,663579.1,6862386.0,663611.2,6862498.0,7.5,6.9
70,664209.0,6862371.0,664156.3,6862384.0,7.5,6.9
71,664156.0,6862381.0,664208.1,6862368.0,7.5,6.9
72,663302.0,6862372.0,663339.1,6862545.0,7.5,6.9
73,663337.6,6862545.0,663302.9,6862371.0,7.5,6.9
74,663226.6,6862422.0,663302.0,6862372.0,7.5,6.9
75,664250.4,6862361.0,664209.0,6862371.0,7.5,6.9
76,664208.1,6862368.0,664251.6,6862357.0,7.5,6.9
77,663969.5,6862333.0,663990.7,6862433.0,7.5,6.9
78,663742.0,6862434.0,663707.1,6862324.0,7.5,6.9
79,663579.1,6862386.0,663707.1,6862324.0,7.5,6.9
80,663289.9,6862318.0,663304.3,6862371.0,7.5,6.9
81,663302.9,6862371.0,663288.1,6862319.0,7.5,6.9
82,663444.6,6862479.0,663394.3,6862319.0,7.5,6.9
83,663302.9,6862371.0,663394.3,6862319.0,7.5,6.9
84,663552.8,6862219.0,663445.4,6862472.0,7.5,6.9
85,663444.6,6862479.0,663552.8,6862219.0,7.5,6.9
86,664138.1,6862383.0,664122.9,6862288.0,7.5,6.9
87,664202.6,6862348.0,664207.6,6862366.0,7.5,6.9
88,664185.3,6862279.0,664202.6,6862348.0,7.5,6.9
89,664186.2,6862277.0,664123.2,6862287.0,7.5,6.9
90,664122.9,6862288.0,664185.3,6862279.0,7.5,6.9
91,663923.7,6862405.0,663944.7,6862450.0,7.5,6.9
92,663848.7,6862266.0,663923.7,6862405.0,7.5,6.9
93,663394.3,6862319.0,663552.8,6862219.0,7.5,6.9
94,662982.8,6862095.0,663268.2,6862260.0,7.5,6.9
95,663269.5,6862260.0,662983.0,6862096.0,7.5,6.9
96,663318.6,6862230.0,663269.5,6862260.0,7.5,6.9
97,663905.3,6862233.0,663848.7,6862266.0,7.5,6.9
98,663845.3,6862263.0,663904.3,6862231.0,7.5,6.9
99,663707.1,6862324.0,663552.8,6862219.0,8.5,6.9
100,664122.9,6862288.0,664108.3,6862212.0,7.5,6.9
101,664173.9,6862202.0,664186.2,6862277.0,7.5,6.9
102,664174.0,6862203.0,664109.2,6862210.0,7.5,6.9
103,664108.3,6862212.0,664173.9,6862202.0,7.5,6.9
104,664215.7,6862191.0,664174.0,6862203.0,7.5,6.9
105,664173.9,6862202.0,664215.4,6862189.0,7.5,6.9
106,663798.9,6862182.0,663845.3,6862263.0,7.5,6.9
107,663775.8,6862215.0,663798.9,6862182.0,7.0,5.5
108,663707.1,6862324.0,663775.8,6862215.0,7.0,5.5
109,663751.3,6862164.0,663798.9,6862182.0,7.5,6.9
110,664108.3,6862212.0,664096.2,6862146.0,7.5,6.9
111,663675.3,6862141.0,663751.3,6862164.0,7.5,6.9
112,663680.3,6862180.0,663675.3,6862141.0,7.5,6.9
113,663707.1,6862324.0,663680.3,6862180.0,7.5,6.9
114,663641.1,6862162.0,663675.3,6862141.0,7.5,6.9
115,663552.8,6862219.0,663641.1,6862162.0,7.5,6.9
116,663462.1,6862140.0,663552.8,6862219.0,8.5,6.9
117,663552.8,6862219.0,663461.5,6862140.0,8.5,6.9
118,663461.5,6862140.0,663318.6,6862230.0,7.5,6.9
119,664160.2,6862134.0,664173.9,6862201.0,7.5,6.9
120,664160.2,6862134.0,664096.2,6862146.0,7.5,6.9
121,663798.9,6862182.0,663829.0,6862127.0,7.0,5.5
122,663916.7,6862128.0,663969.5,6862333.0,7.5,6.9
123,663798.9,6862182.0,663916.7,6862128.0,7.5,6.9
124,663959.6,6862106.0,663971.2,6862335.0,7.5,6.9
125,663969.5,6862333.0,663956.2,6862109.0,7.5,6.9
