SPECIES	MASS	REACT	HC8	API	LIM	PAR	OLE	TOL	XYL	FORM	ALD2	ETH	ISOP	MEOH	ETOH	CH4	ETHA	IOLE	ALDX	TERP
MASS	xxx	xxxxx	114.0	136.	136.	15.03	27.05	92.14	106.16	30.03	44.05	28.05	68.18	32.04	46.07	16.04	30.07	56.11	43.04	136.24
REAC	xxx	xxxxx	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1MECHX	126	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1MPCHX	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2M1PAC	116	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MPCHX	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111TCE	132	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DCEA	98	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DCEE	96	1.	0.94	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11DMCP	98	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1234TB	134	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1235TB	134	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
123TMB	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
123TCH	126	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1245TB	134	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
124TMB	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12DCEA	98	1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12DCEE	96	1.	0.94	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12DMCP	98	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12PDIO	76	1.	0.94	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135TMB	120	1.	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13BDIE	54	1.	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
13DMCP	98	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13HDIE	82	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
14DCBZ	146	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1BME2P	176	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1EME2P	162	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1MME2P	148	1.	0.94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1BUTAL	72	1.	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1BUTOL	74	1.	0.94	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1BUTEN	56	1.	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1DECEN	140	1.	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1E2POL	104	1.	0.94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1E2PAC	146	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1E3MCH	126	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1E4MCH	126	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1HPTEN	98	1.	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1HXENE	84	1.	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1M2EOL	76	1.	0.94	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1M2POL	90	1.	0.94	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1M2PAC	132	1.	0.94	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1M3PBZ	134	1.	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1M4PBZ	134	1.	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1M4IPC	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1PTENE	70	1.	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1PRPAL	58	1.	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1PRPOL	60	1.	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2233TH	140	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPMIB	216	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22DMBA	86	1.	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22DMPA	72	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23DMBA	86	1.	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23DMHP	128	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24DMPT	100	1.	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25DMOC	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26DMOC	142	1.	0.94	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BEEOL	162	1.	0.94	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BEEAC	204	1.	0.94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2EEEOL	134	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2EEEAC	176	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MEEOL	120	1.	0.94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2EEEEO	178	1.	0.94	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BUTOL	74	1.	0.94	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BUTON	72	1.	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BUTEN	56	1.	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2BOEOL	118	1.	0.94	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2BOEAC	160	1.	0.94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
