0.17	0.133	0.102	0.055	0.04	0.119	0.6	0.048	0.02	0.03	9999	0.375	9999	9999
150	150	199	247	247	160	50	150	163	138	9999	121	9999	9999
40	43	44	44	44	32	20	45	27	23	9999	39	9999	9999
1.e-30	1.e-30	-3	-5	-5	1.e-30	10	10	10	1.e-30	9999	1.e-30	9999	9999
45	45	42	40	40	50	55	52.5	50	43	9999	43.5	9999	9999
30	27	21	15	15	31.5	40	41	42	21.5	9999	27	9999	9999
0.00273	0.00357	0.0034	0.0031	0.0031	0.00298	0.00238	0.00257	0.00275	0.00257	9999	0.00179	9999	9999
-100	-190	-200	-200	-200	-155	-120	-160	-200	-100	9999	-145	9999	9999
-500	-250	-250	-250	-250	-240	-230	-340	-400	-275	9999	-225	9999	9999
35	20	20	17	14	18	0.6	0.5	0.5	0.6	9999	20	9999	9999
4.5	0.1	2.3	4.5	0.1	0.9	0.3	1.2	0.1	0.2	9999	0.8	9999	9999
2.65	0.55	1.2	0.9	0.55	0.85	0.05	0.05	0.05	0.05	2.0	0.15	1.e-3	0.01
5	4	4	8	6	1	1.e-30	1.e-30	1.e-30	0.2	1.e-30	0.3	1.e-30	1.e-30
200	200	200	200	200	200	200	200	200	200	550	2000	10	100
3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	500	3000	2000	2000
400	9000	400	200	4600	9500	9999	9500	9000	9000	9999	9500	9999	9999
600	400	600	1500	950	700	1000	900	800	800	9999	700	9999	9999
1500	1000	1500	2000	1500	505	10	30	50	50	50	505	1.e-30	1.e-30
800	9999	800	400	5200	9999	9999	9999	9999	9999	9999	9999	9999	9999
9000	9999	9000	6000	8000	9999	9999	9500	9000	9000	9999	9999	9999	9999
1	1	1	1	1	1	1	1	1	1	0	1	0	0
1	1	1	1	1	1	0	0	0	0	0	0	0	0
