#id;begin_inter;end_inter;length;width;height;typo
1;1;2;122.686160495;7.5;6.9;0
3;1;6;107.94798805;7.5;6.9;0
4;7;8;155.856467313;7.5;6.9;0
5;8;10;124.490042998;7.5;6.9;0
6;11;12;196.113095869;41;10.2;0
7;13;10;99.5930099431;7.5;6.9;0
8;1;13;169.563212564;7.5;6.9;0
9;17;18;156.567562811;7.5;6.9;0
10;17;8;145.452588007;7.5;6.9;0
11;1;22;198.442274833;7.5;6.9;0
12;22;24;189.386592243;7.5;6.9;0
14;27;28;129.283403254;7.5;6.9;0
15;29;27;28.243530365;7.5;6.9;0
17;33;34;88.3260073982;7.5;6.9;0
19;8;38;110.337649;7.5;6.9;0
20;39;22;65.6165007085;7.5;6.9;0
22;43;17;111.375573317;7.5;6.9;0
23;45;13;91.6798287692;7.5;6.9;0
24;45;39;70.3955316824;7.5;6.9;0
26;51;52;147.955496888;7.5;6.9;0
27;53;29;51.5815021879;7.5;6.9;0
29;43;38;149.019511139;7.5;6.9;0
30;38;60;90.791902178;7.5;6.9;0
31;61;33;162.758975304;7.5;6.9;0
33;65;61;113.003794524;7.5;6.9;0
34;22;68;143.325137061;7.5;6.9;0
35;61;70;51.9163292326;7.5;6.9;0
36;70;72;249.975023456;7.5;6.9;0
37;70;52;185.638007094;7.5;6.9;0
38;75;76;75.4175352331;7.5;6.9;0
40;75;80;186.517034187;7.5;6.9;0
43;85;68;105.064084043;7.5;6.9;0
45;89;90;24.7966564057;7.5;6.9;0
47;93;76;55.0092505955;7.5;6.9;0
49;52;98;108.810678923;7.5;6.9;0
50;98;100;49.5343965242;7.5;6.9;0
52;103;61;42.0470138766;7.5;6.9;0
53;70;103;48.9144391921;7.5;6.9;0
54;107;108;177.041731612;7.5;6.9;0
55;109;108;27.8165283167;7.5;6.9;0
57;113;39;151.784293002;7.5;6.9;0
58;68;113;81.8073497971;7.5;6.9;0
59;117;33;179.230249592;7.5;6.9;0
62;103;117;48.3441634452;7.5;6.9;0
63;125;126;80.3039273969;7.5;6.9;0
65;129;117;106.61728493;7.5;6.9;0
67;133;129;16.9798886477;7.5;6.9;0
69;137;43;116.456786014;7.5;6.9;0
70;139;133;54.4207021243;7.5;6.9;0
72;143;45;176.89037051;7.5;6.9;0
74;113;143;89.955390415;7.5;6.9;0
75;149;139;42.0854718295;7.5;6.9;0
77;153;103;102.168951304;7.5;6.9;0
78;98;156;115.403841784;7.5;6.9;0
79;137;156;141.887591684;7.5;6.9;0
80;159;143;54.8076858968;7.5;6.9;0
82;60;164;167.887565329;7.5;6.9;0
83;143;164;104.577597603;7.5;6.9;0
84;167;60;274.959338576;7.5;6.9;0
86;129;172;96.1702534315;7.5;6.9;0
87;173;139;18.6779016392;7.5;6.9;0
88;175;173;71.2963455669;7.5;6.9;0
89;175;172;63.6071455662;7.5;6.9;0
91;181;70;49.6334594179;7.5;6.9;0
92;183;181;157.84131756;7.5;6.9;0
93;164;167;187.437334605;7.5;6.9;0
94;187;188;328.604776062;7.5;6.9;0
96;191;188;57.3318029434;7.5;6.9;0
97;193;183;64.8583893124;7.5;6.9;0
99;156;167;186.021979725;8.5;6.9;0
100;172;200;77.4579533775;7.5;6.9;0
101;201;175;75.948653714;7.5;6.9;0
102;201;200;65.1874452259;7.5;6.9;0
104;207;201;43.5626832659;7.5;6.9;0
106;211;183;93.0856451254;7.5;6.9;0
107;213;211;40.1854511359;7;5.5;0
108;156;213;128.894063453;7;5.5;0
109;217;211;51.1337413529;7.5;6.9;0
110;200;220;67.0760710508;7.5;6.9;0
111;221;217;79.1931113573;7.5;6.9;0
112;223;221;39.3175427655;7.5;6.9;0
113;156;223;146.495408559;7.5;6.9;0
114;227;221;39.8777976371;7.5;6.9;0
115;167;227;104.63075841;7.5;6.9;0
116;231;167;120.309357256;8.5;6.9;0
118;231;191;168.609365503;7.5;6.9;0
119;237;201;68.4390663492;7.5;6.9;0
120;237;220;64.9317880511;7.5;6.9;0
121;211;242;62.6069319397;7;5.5;0
122;243;153;211.703032428;7.5;6.9;0
123;211;243;129.454887633;7.5;6.9;0
124;247;153;229.262199278;7.5;6.9;0
126;247;243;43.2794603195;7.5;6.9;0
127;253;237;35.0567146874;7.5;6.9;0
128;242;217;86.1244735112;7.5;6.9;0
129;257;253;77.4092430043;7.5;6.9;0
131;261;247;48.6536687095;7.5;6.9;0
132;263;264;125.003726157;7.5;6.9;0
134;263;261;19.0498504025;7.5;6.9;0
135;269;253;49.7198189304;7.5;6.9;0
136;220;269;109.96007675;7.5;6.9;0
137;273;191;363.512400629;7.5;6.9;0
139;242;278;110.57867734;7;5.5;0
140;279;221;104.138526382;7.5;6.9;0
142;279;231;206.565595888;7.5;6.9;0
144;287;278;39.9247796747;7.5;6.9;0
145;289;290;120.068308582;7.5;6.9;0
146;231;289;138.022929426;7.5;6.9;0
147;293;289;131.63100018;7.5;6.9;0
148;295;269;56.3343210386;7.5;6.9;0
150;299;300;56.1370326335;7.5;6.9;0
152;303;299;24.4468991605;7.5;6.9;0
154;307;287;34.1980610389;7.5;6.9;0
155;307;303;31.6921838466;7.5;6.9;0
157;313;295;104.881164158;7.5;6.9;0
159;317;295;21.9016781755;7.5;6.9;0
160;319;293;52.8896976219;8.5;6.9;0
162;313;263;135.183330803;7.5;6.9;0
163;313;307;151.180967103;7.5;6.9;0
165;329;319;44.8516789138;8.5;6.9;0
167;319;334;34.8636229313;7.5;6.9;0
168;289;336;121.127321288;7.5;6.9;0
169;336;293;133.899229349;7.5;6.9;0
170;339;329;98.0606724588;8.5;6.9;0
172;343;317;131.615936024;7.5;6.9;0
174;347;317;127.539875514;7.5;6.9;0
175;313;350;108.626974152;7.5;6.9;0
176;351;352;81.3928318315;7.5;6.9;0
177;351;347;44.3832417552;7.5;6.9;0
178;307;356;185.933974236;7;5.5;0
179;357;356;66.5830186027;7.5;6.9;0
181;357;299;210.275534479;7.5;6.9;0
182;363;357;52.0683544558;7.5;6.9;0
184;363;300;242.431852257;7.5;6.9;0
186;371;363;81.0599581097;7.5;6.9;0
188;350;376;122.016420386;7.5;6.9;0
189;377;378;124.95064963;7.5;6.9;0
190;378;380;25.7811829843;7.5;6.9;0
191;356;382;108.473122971;7;5.5;0
192;376;384;92.4605470086;7.5;6.9;0
193;382;384;37.163622551;7;5.5;0
194;376;388;62.5726607758;7.5;6.9;0
195;389;382;40.1465200528;7.5;6.9;0
197;357;389;133.035350196;7.5;6.9;0
198;395;389;43.9699061238;7.5;6.9;0
200;395;363;151.170057095;7.5;6.9;0
202;403;395;103.120012435;7.5;6.9;0
204;407;408;49.5949483759;14;7.3;0
205;408;410;97.0613955063;7.5;6.9;0
207;413;414;111.65505022;7.5;6.9;0
208;414;416;29.9517479891;14;7.3;0
209;388;416;177.707619089;7.5;6.9;0
210;416;420;64.6744235138;14;7.3;0
211;420;422;33.9330947467;14;7.3;0
212;422;424;32.3858797415;7.5;6.9;0
213;425;426;36.9879909431;17;8.2;0
216;431;425;57.8533867542;17;8.2;0
220;439;440;43.7759825309;7.5;6.9;0
221;441;85;214.343468471;7.5;6.9;0
223;445;439;65.1494130759;7.5;6.9;0
224;445;431;53.590618327;17;8.2;0
226;451;441;139.73953449;7.5;6.9;0
228;455;441;212.930476958;7.5;6.9;0
230;455;460;82.555289692;7.5;6.9;0
232;463;451;244.925083769;7.5;6.9;0
233;463;455;85.0231857591;7.5;6.9;0
238;475;279;144.881498189;8;9.3;0
239;477;475;64.8092483961;8;9.3;0
240;479;477;30.36801969;8;9.3;0
241;481;482;178.582051923;7.5;6.9;0
243;485;479;40.1464078049;8;9.3;0
244;485;488;186.165868161;7.5;6.9;0
246;491;485;30.4296879311;8;9.3;0
247;491;494;189.759156664;7.5;6.9;0
249;497;491;59.6548061559;7.5;6.9;0
251;501;491;94.9198697273;7.5;6.9;0
253;501;506;166.725439486;7.5;6.9;0
255;479;510;92.8278877552;7.5;6.9;0
256;510;497;52.8039139408;7.5;6.9;0
258;515;516;97.2529536478;7.5;6.9;0
259;516;477;166.962096129;7.5;6.9;0
261;521;522;219.887693575;7.5;6.9;0
262;523;521;93.697868722;7.5;6.9;0
265;516;530;47.4216780382;7.5;6.9;0
266;530;510;64.9737623164;7.5;6.9;0
268;481;536;95.3272362403;7.5;6.9;0
269;537;491;89.6785879641;8;9.3;0
270;530;540;93.0015174594;7.5;6.9;0
271;540;497;72.205643257;7.5;6.9;0
273;545;481;126.937013841;7.5;6.9;0
275;536;550;65.2602667192;7.5;6.9;0
276;551;552;19.2646153691;7.5;6.9;0
278;555;537;103.845417333;8;9.3;0
279;550;558;182.852087401;7.5;6.9;0
280;559;560;66.684326547;7.5;6.9;0
281;551;540;93.4718885615;7.5;6.9;0
283;565;555;152.526844481;8;9.3;0
284;567;536;112.071752553;7.5;6.9;0
286;571;559;138.583555119;7.5;6.9;0
287;573;545;139.028522122;7.5;6.9;0
289;577;578;142.808849764;7.5;6.9;0
290;559;578;65.1276902166;7.5;6.9;0
291;581;571;59.7456122957;7.5;6.9;0
292;581;551;68.6823911795;7.5;6.9;0
294;587;581;44.4838482801;7.5;6.9;0
295;587;590;67.043546711;7.5;6.9;0
298;595;587;41.948512577;7.5;6.9;0
299;565;573;32.0157240518;7.5;6.9;0
300;599;565;33.9986352406;7.5;6.9;0
304;607;599;14.1883018162;8;9.3;0
305;609;595;51.4946768719;7.5;6.9;0
306;537;609;239.448766267;7.5;6.9;0
307;558;614;32.7431828922;7.5;6.9;0
308;1363;616;30.8009084967;7.5;6.9;0
309;617;618;34.1635192653;8;9.3;0
311;614;622;31.5612394519;7.5;6.9;0
312;622;624;56.4367789843;11;5.5;0
313;625;607;20.7888794377;8;9.3;0
314;627;609;82.5684984249;7.5;6.9;0
315;627;617;33.5901959661;8;9.3;0
316;578;632;123.337942773;7.5;6.9;0
317;633;625;59.3246111755;8;9.3;0
318;633;550;277.140152147;7.5;6.9;0
320;639;640;51.3990259241;7.5;6.9;0
321;641;642;55.940981793;7.5;6.9;0
323;641;646;157.539341797;7.5;6.9;0
325;617;650;173.306460133;7.5;6.9;0
326;640;650;23.8045408719;7.5;6.9;0
327;653;654;80.9610536551;13;6.9;0
328;571;656;177.729654048;7.5;6.9;0
329;657;633;46.6022089962;8;9.3;0
330;659;627;66.6758788331;8;9.3;0
333;422;666;154.11008068;7.5;6.9;0
334;640;668;65.7513128535;7.5;6.9;0
335;669;581;173.392973979;7.5;6.9;0
336;671;672;114.960648531;41;10.2;0
337;673;587;170.817385282;7.5;6.9;0
339;677;669;43.0000312111;7.5;6.9;0
